15.56646173;-272.59696184
12.59659604;-260.29799486
12.23187031;-266.57636464
10.31227366;-273.42202940
13.19628502;-271.46946925
11.50309674;-262.61044966
13.35079979;-258.79513841
10.74539189;-261.25824484
9.07752127;-272.02938633
12.10089683;-273.69556863
10.75354427;-272.47939729
10.99683903;-272.56966972
9.89245695;-258.84990154
11.53790356;-254.88902850
9.55444915;-266.25620177
13.07367471;-268.90774688
12.97040838;-276.98878510
10.42483379;-283.62054782
10.69353934;-297.67756081
10.65627198;-269.61063781
8.81143686;-259.39218102
10.46658131;-272.19330936
11.43030947;-269.46333227
9.86767602;-271.91544203
10.17850215;-267.41214035
13.21744551;-297.78977345
11.12692092;-256.77743079
9.96315915;-279.30007748
8.79119696;-270.19308572
11.51242275;-296.19667233
9.97054100;-266.71832846
11.26539731;-271.38744506
9.36680908;-270.04520664
9.25489215;-270.22413566
8.68108915;-274.40841939
14.93174028;-261.47530621
12.71162312;-262.87098485
12.88673116;-272.70758514
10.96322232;-274.17243778
12.01626166;-273.76560802
9.44426999;-270.68035885
10.06740313;-271.94938407
12.49859561;-270.13834757
10.74726730;-268.46870711
11.17302781;-270.40943093
13.19405200;-269.46925343
9.76798809;-270.68917588
10.33065315;-272.10391054
12.65646277;-271.66081621
10.08141702;-260.17422602
10.41977433;-270.50387650
11.91500813;-271.56031867
11.26267677;-276.98357544
10.07264837;-262.32291094
10.87581388;-264.83552971
9.65983659;-272.16340930
14.78860815;-275.82346553
19.31722153;-271.80437353
12.18857938;-274.25967680
15.20133245;-262.05674465
13.70582367;-271.13124034
16.53719800;-274.77222140
11.10424063;-274.62650247
11.97472699;-273.01145500
14.32861717;-281.55345785
10.98163918;-265.89701473
20.14938461;-273.11486539
12.26441447;-274.15107057
11.83870477;-274.92601947
23.73007946;-273.81196675
25.39632863;-269.63013851
18.30629474;-299.53984415
14.16835172;-267.56565054
21.40340926;-259.11071267
17.85373342;-269.99407037
10.62269110;-267.35016830
11.66690199;-272.41282392
18.87358485;-267.26193093
16.45668998;-290.45912327
15.64011087;-266.78290044
18.59366737;-273.78569885
14.58548066;-267.76409317
14.63323556;-269.39660337
13.02669934;-262.40219107
18.56087896;-262.28146557
11.80048578;-267.37675648
18.60110693;-269.33190223
11.58970314;-272.81489497
15.07226351;-277.93444351
16.56848505;-267.60318670
12.78824080;-272.94414488
10.04959614;-274.10990720
12.67779862;-275.16113800
11.39823418;-272.15865585
19.77173850;-266.21677167
11.49443731;-275.61851084
10.36112967;-263.87123310
10.31364299;-262.15292406
14.36182631;-267.30164589
13.80622742;-273.15600553
20.76448528;-271.53431742
13.95266752;-267.73880214
18.11641581;-275.13008429
24.07797317;-283.21198064
21.42574110;-266.82925495
22.46097399;-295.17215236
15.54784893;-265.60514142
11.06692982;-267.21962135
18.51480375;-273.20973569
24.53335029;-275.30080320
16.66661553;-273.92722133
15.59641994;-268.42695461
14.63013430;-257.24538886
15.35514115;-288.54961958
12.05757353;-295.33520284
21.63000150;-294.04073328
28.07243381;-270.12346341
15.24971593;-270.42979088
14.36165065;-259.57458495
12.00311441;-269.74740433
